Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
A0A0B4J1V1,0.47,6,0.061,0.1,0.036,21,95.692,36.518,59.174,332.628,16,3.992,0.613,0.81,45.2,5.4,2,0,31.579,3.349,7.973,0.09
A0A0B4J1V2,0.531,3,0.366,0.002,0.001,52,123.195,38.661,84.534,435.588,14.947,3.987,0.487,0.365,27.571,3.929,4,-2,36.364,4.394,10.831,0.965
A0A0B4J1V6,0.847,5,0.23,0.704,0.051,80,207.558,69.888,137.67,709.066,15.579,4.001,0.517,0.237,30.211,3.789,8,-1,40.426,6.382,16.222,0.961
A0A0B4J1V7,0.902,7,0.121,0.047,0.037,109,261.747,65.735,196.011,840.039,22.97,3.925,0.488,0.303,28,4,8,1,34.426,6.749,18.928,0.936
A0A0B4J1W7,0.991,24,-1.102,0.059,0.037,273,942.926,148.228,794.697,3005.66,67.038,4.024,0.506,0.762,43.711,4.711,18,0,28.75,12.274,32.688,0.717
A0A0B4J1X5,0.632,5,0.373,0.154,0.024,80,165.945,54.844,111.102,632.969,17.524,3.978,0.49,0.262,32.158,3.789,7,-1,42.553,6.141,15.717,0.969
A0A0B4J1X8,0.41,6,0.188,0.222,0.022,60,155.739,48.26,107.479,489.982,22.417,4.027,0.492,0.4,52.714,4.286,4,0,34.286,3.842,9.504,0.933
A0A0B4J1Y8,0.021,9,0.013,0.021,0.018,20,77.949,16.36,61.589,309.467,11,3.786,0.566,0.6,63.25,4.25,1,0,30,3.293,8.918,0.485
A0A0B4J1Y9,0.642,6,0.303,0.171,0.027,84,194.156,61.317,132.839,666,16.435,3.938,0.498,0.274,30.211,3.789,8,-1,43.75,6.599,16.04,0.974
A0A0B4J1Z2,0.603,7,0.214,0.157,0.031,74,198.424,75.246,123.178,631.943,19.742,4.029,0.468,0.419,48.312,4.312,6,-1,36.364,5.73,15.608,0.984
A0A0B4J200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4J234,0.439,6,0.213,0.038,0.005,74,204.138,68.883,135.254,668.238,14.235,4.015,0.479,0.23,26.526,3.737,9,-2,38.636,5.898,15.785,0.979
A0A0B4J235,0.777,10,0.063,0.053,0.034,24,72.576,8.572,64.004,250.733,21.391,3.742,0.62,0.958,62.6,5.4,2,-1,25,3.225,9.479,0.579
A0A0B4J237,0.191,4,0.244,0.026,0.004,96,235.95,91.45,144.499,955.406,17.935,3.98,0.456,0.323,28.333,4,11,-1,40.351,6.842,17.172,0.956
A0A0B4J238,0.405,6,0.369,0.141,0.051,35,78.843,17.254,61.589,273.639,19,3.599,0.473,0.571,36.111,4.222,5,0,37.037,3.459,8.751,0.947
A0A0B4J240,0.78,8,0.029,0.281,0.078,32,99.574,5.379,94.195,383.995,26.643,3.845,0.652,0.875,73.833,5.333,3,0,25.926,3.442,9.517,0.483
A0A0B4J241,0.207,6,0.059,0.122,0.066,36,114.097,35.602,78.496,362.759,16.526,3.729,0.518,0.528,20.333,4,7,3,42.857,3.889,11.93,0.99
A0A0B4J244,0.18,6,0.331,0.056,0.009,78,186.992,89.175,97.818,688.518,16.19,3.898,0.446,0.269,28.611,3.833,9,-4,40.426,6.122,15.184,0.977
A0A0B4J245,0.672,7,0.147,0.529,0.033,85,231.008,86.093,144.915,717.884,19.226,4.034,0.441,0.365,28,3.947,9,-2,40.816,6.554,19.04,0.862
A0A0B4J248,0.529,7,-0.165,0.098,0.001,29,127.687,11.875,115.813,338.039,26,3.964,0.529,0.931,43.125,4.375,2,0,13.043,3.517,7.523,0.836
A0A0B4J249,0.05,5,0.167,0.043,0.015,81,198.656,82.724,115.932,740.969,14.125,4.101,0.492,0.198,43.688,3.875,8,-1,37.209,5.103,11.782,0.925
A0A0B4J262,0.042,6,0.091,0.006,0.006,122,306.33,132.431,173.898,1162.742,19.029,3.978,0.465,0.287,27.048,4.19,11,-2,38.235,7.385,19.27,0.948
A0A0B4J263,0.317,5,0.071,0.256,0.02,18,69.472,5.468,64.004,164.244,15,3.673,0.557,0.889,83,5,1,0,20,1.968,3.797,0.182
A0A0B4J264,0.372,4,0.102,0.002,0.001,104,264.631,105.224,159.407,920.751,20.938,3.94,0.46,0.308,26.909,3.955,12,-3,40.351,6.856,18.532,0.93
A0A0B4J265,0.192,5,0.242,0.002,0.002,102,243.622,98.707,144.915,987.556,19.032,4.021,0.504,0.304,22.455,3.727,11,-3,36.066,7.07,18.921,0.92
A0A0B4J266,0.332,11,0.032,0.229,0.224,17,49.285,2.187,47.098,142.992,14,3.636,0.503,0.882,97,5.75,1,0,20,1.734,3.981,0.514
A0A0B4J268,0.187,5,0.067,0.073,0.038,21,54.343,0,54.343,202.882,20,3.811,0.608,1,44.25,5.5,2,0,0,2.229,4.624,0.98
A0A0B4J271,0.292,5,0.044,0.203,0.019,20,95.249,10.715,84.534,401.775,15.765,4.167,0.729,0.85,51,4.6,3,0,27.778,3.796,10.823,0.469
A0A0B4J272,0.034,4,0.302,0.001,0,65,143.145,73.103,70.042,554.578,21,4.067,0.457,0.338,28,3.733,10,0,45.946,4.485,11.827,0.966
A0A0B4J273,0.708,8,0.124,0.452,0.036,29,111.924,14.106,97.818,457.267,16.545,3.841,0.695,0.759,60.333,4.667,2,0,30,5.152,13.85,0.281
A0A0B4J274,0.595,7,0.329,0.45,0.008,88,213.899,87.098,126.801,844.65,16.222,4.01,0.517,0.307,19.556,3.944,8,-2,40,7.186,22.748,0.93
A0A0B4J275,0.026,5,0.004,0.011,0.001,16,77.016,2.143,74.873,251.17,10.833,3.854,0.721,0.75,52.8,3.4,1,0,25,3.323,7.944,0.463
A0A0B4J276,0.285,6,0.023,0.006,0.002,138,339.096,153.121,185.975,1286.254,30.884,4.007,0.499,0.312,18.84,4.04,15,0,41.25,7.887,22.178,0.927
A0A0B4J277,0.402,4,-0.093,0.093,0.002,22,122.633,4.286,118.348,387.515,20,4.096,0.656,0.955,68.8,5.2,1,1,15.789,3.622,8.554,0.269
A0A0B4J279,0.482,6,0.005,0.073,0.044,31,104.59,14.017,90.572,392.064,26.759,3.899,0.63,0.935,71.8,5.2,2,0,25,3.323,9.904,0.385
A0A0B4J280,0.268,5,0.276,0.187,0.053,95,226.308,98.299,128.009,917.375,14.5,3.97,0.455,0.253,31.8,4.05,11,-1,36.667,7.027,19.41,0.978
A0A0B4J2A2,0.395,11,0.253,0.36,0.088,22,80.459,14.04,66.42,225.583,13,3.749,0.46,0.636,-5.875,3.25,4,1,42.105,3.039,8.388,0.922
A0A0B4J2B6,0.538,7,0.299,0.248,0.001,55,139.381,53.639,85.742,412.775,15.4,3.985,0.488,0.364,25.071,3.786,4,-2,37.5,4.355,10.787,0.975
A0A0B4J2B8,0.81,6,0.147,0.115,0.05,100,238.03,73.081,164.95,781.757,20.48,4.03,0.496,0.25,21.55,4.1,11,1,37.288,6.498,18.377,0.967
A0A0B4J2D5,0.598,11,0.168,0.011,0.005,56,202.67,64.288,138.382,574.335,38.083,3.81,0.447,0.857,50.467,4.333,5,-2,21.951,5.456,16.179,0.987
A0A0B4J2D9,0.429,9,0.149,0.062,0.038,83,244.981,89.197,155.784,867.499,20.483,4.024,0.482,0.349,28.7,3.7,8,-1,37.255,6.206,17.197,0.984
A0A0B4J2E0,0.352,10,0.043,0.032,0.013,110,293.413,113.477,179.937,1130.654,22.343,4.11,0.463,0.318,24,4.05,10,-1,38.983,7.457,21.269,0.969
A0A0B4J2E5,0.435,64,0.041,0.112,0.105,36,88.268,3.259,85.009,296.813,28.323,3.885,0.497,0.861,71,4.444,2,1,16,3.291,9.222,0.911
A0A0B4J2F0,0.064,5,0.245,0.012,0.005,18,68.446,18.458,49.988,225.796,9,3.796,0.67,0.556,17.2,4.6,3,0,37.5,3.294,6.553,0.66
A0A0B4J2F2,0.557,40,-0.282,0.467,0.08,78,287.507,77.499,210.008,923.959,47.864,4.087,0.503,0.756,7.059,4.235,9,2,30.769,6.144,15.754,0.743
A0A0B4J2H0,0.655,4,0.071,0.253,0.025,99,254.226,83.95,170.276,846.034,19.917,4.083,0.479,0.242,20.5,4,11,1,38.596,6.37,18.612,0.981
A0A0C4DGP1,0.615,10,-0.01,0.532,0.237,81,311.142,68.409,242.733,895.437,28.311,3.951,0.55,0.556,39.154,4.462,7,4,33.962,7.149,18.479,0.473
A0A0C4DH24,0.317,7,0.139,0.033,0.02,85,238.073,76.251,161.822,881.924,23.556,4.07,0.477,0.318,27.55,3.9,9,-3,39.216,6.286,18.318,0.972
A0A0C4DH25,0.66,5,0.064,0.015,0.003,126,315.241,90.622,224.619,1069.24,26.679,3.88,0.47,0.421,24.08,3.84,10,-1,35.714,7.395,17.605,0.98
A0A0C4DH26,0.508,6,0.218,0.387,0.001,79,216.718,74.218,142.5,834.083,23.214,4.027,0.485,0.354,37.7,3.9,7,-2,38.776,6.258,18.514,0.956
A0A0C4DH27,0.306,5,0.014,0.034,0.016,122,350.211,143.885,206.326,1189.73,15.273,3.944,0.466,0.27,32.808,4.231,15,0,40.845,8.77,23.245,0.835
A0A0C4DH28,0.702,6,0.073,0.332,0.097,140,354.011,141.964,212.047,1338.086,18.5,3.981,0.472,0.286,33.885,4.077,13,0,38.462,9.422,30.657,0.836
A0A0C4DH29,0.792,3,0.225,0.047,0.007,102,211.431,67.723,143.708,787.605,22.296,4.103,0.494,0.265,20.5,4,11,1,38.596,6.288,18.529,0.975
A0A0C4DH30,0.868,8,0.121,0.192,0.074,26,117.15,15.155,101.995,413.618,14,4.015,0.67,0.577,17.5,3.625,2,2,36.364,3.976,12.083,0.941
A0A0C4DH31,0.748,4,0.059,0.076,0.006,103,260.035,75.268,184.767,899.967,21.556,4.096,0.49,0.262,20.5,4,11,1,37.288,6.427,18.947,0.971
A0A0C4DH32,0.613,6,0.357,0.539,0.007,69,196.799,59.129,137.67,719.937,15.417,3.858,0.519,0.348,35.2,4.15,8,0,37.255,7.134,16.847,0.956
A0A0C4DH33,0.173,5,0.23,0.173,0.011,86,202.705,69.866,132.839,754.976,17.217,3.993,0.439,0.267,20.556,3.722,9,0,38.776,5.912,15.448,0.981
A0A0C4DH34,0.481,5,-0.026,0.34,0.24,18,120.504,25.042,95.462,385.076,13.6,3.991,0.605,0.833,49.333,6.333,2,1,23.529,3.716,8.875,0.051
A0A0C4DH35,0.519,7,0.278,0.022,0.012,73,151.497,44.018,107.479,506.423,21.926,3.93,0.477,0.37,31.875,3.75,6,0,38.462,4.558,11.8,0.955
A0A0C4DH36,0.738,5,0.276,0.142,0.056,83,203.158,66.696,136.462,686.008,17.538,3.916,0.505,0.313,35.053,3.684,6,0,40,6.573,17.918,0.925
A0A0C4DH38,0.666,3,0.104,0.614,0,21,71.114,1.071,70.042,175.523,17.684,3.674,0.626,0.905,82,4.2,0,0,29.412,3.533,7.518,0.384
A0A0C4DH39,0.54,6,0.151,0.011,0.01,102,238.78,80.581,158.199,870.748,25.529,4.045,0.48,0.333,18.211,3.947,10,0,36.842,6.417,18.407,0.974
A0A0C4DH41,0.564,6,0.24,0.049,0.037,29,82.624,16.205,66.42,396.801,26.621,3.931,0.64,1,97.75,6,1,0,17.391,3.867,8.354,0.055
A0A0C4DH42,0.494,7,0.378,0.192,0.023,70,151.524,53.706,97.818,546.071,17.391,4.022,0.521,0.329,40.562,4,6,-1,39.024,5.592,12.634,0.975
A0A0C4DH43,0.373,2,0.371,0.001,0,51,120.485,40.782,79.703,432.873,15.1,4.038,0.498,0.392,25.071,3.786,4,-2,34.375,4.32,10.846,0.969
A0A0C4DH55,0.402,3,0.069,0.003,0,117,313.033,99.282,213.75,1138.328,24.52,3.901,0.465,0.427,24.565,3.783,8,0,38.235,7.456,18.037,0.985
A0A0C4DH59,0.644,9,0.021,0.082,0.001,100,284.913,80.824,204.089,1029.881,18.417,4.025,0.489,0.24,34.65,4.3,10,1,35.088,6.498,19.165,0.976
A0A0C4DH62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C4DH63,0.033,1,0.324,0,0,32,111.834,62.322,49.513,308.126,4,3.849,0.501,0.156,15.25,4.25,5,1,57.143,3.502,9.164,0.35
A0A0C4DH67,0.272,7,0.182,0.009,0.004,74,208.972,78.548,130.424,690.02,29.091,4.007,0.483,0.446,35.706,4.059,8,0,35.556,5.384,14.208,0.95
A0A0C4DH68,0.784,7,0.302,0.07,0.019,51,178.945,38.86,140.085,660.901,25.879,4.004,0.513,0.647,41.938,3.938,5,-2,32.5,5.851,15.322,0.9
A0A0C4DH69,0.379,8,0.049,0.021,0.005,96,276.673,87.076,189.598,907.215,26.061,4.024,0.515,0.344,34.7,4.15,8,0,33.871,6.445,16.219,0.977
A0A0C4DH72,0.454,9,-0.022,0.241,0.131,30,136.519,29.04,107.479,342.277,22,3.856,0.562,0.767,77.6,4.2,0,0,31.818,3.511,8.013,0.246
A0A0C4DH73,0.227,8,-0.028,0.094,0.046,104,341.412,111.963,229.449,1223.807,20.486,3.992,0.483,0.356,24.292,3.792,11,0,39.062,7.485,19.518,0.985
A0A0C4DH90,0.403,5,0.086,0.008,0.001,128,335.115,94.797,240.318,1218.5,25.137,3.897,0.485,0.398,23.333,3.708,9,0,38.158,7.896,21.352,0.981
A0A0C5B5G6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D9SF12,0.24,13,0.194,0.239,0.203,26,152.924,22.501,130.424,495.104,10.143,4.103,0.686,0.538,54.429,4.571,2,-2,25,5.003,12.603,0.55
A0A0G2JKD1,0.643,26,0.077,0.32,0.135,28,80.784,5.357,75.427,235.127,23.68,3.748,0.443,0.893,83.444,4.667,1,0,18.182,3.118,7.692,0.564
A0A0G2JKW9,0,1,0.366,0,0,21,108.743,77.344,31.398,286.243,0,3.934,0.685,0.048,5.143,2.429,2,0,50,3.864,9.388,0.344
A0A0G2JLE6,0.301,18,0.135,0.074,0.004,50,177.638,50.956,126.682,467.959,19,3.941,0.498,0.4,0.571,3.571,4,1,38.462,4.288,10.913,0.307
A0A0G2JLG4,0.106,41,-0.098,0.031,0.011,35,126.169,15.067,111.102,387.892,23.077,3.89,0.606,0.743,56,4.091,4,1,32.143,4.197,11.519,0.914
A0A0G2JLM5,0.208,29,0.309,0.207,0.108,54,110.71,41.875,68.835,332.82,18,3.892,0.48,0.352,36.083,4.5,6,1,40,3.21,7.759,0.785
A0A0G2JLQ3,0.671,21,0.174,0.158,0.131,26,123.588,18.525,105.064,409.268,16.833,3.99,0.604,0.923,65.714,5,2,1,25,5.515,13.008,0.772
A0A0G2JLW4,0.701,16,0.159,0.692,0.365,68,174.033,30.266,143.767,465.258,46.192,3.876,0.447,0.765,44.786,4.214,5,-1,28.947,4.997,10.402,0.642
A0A0G2JMD5,0.948,38,0.359,0.308,0.028,117,200.852,45.068,155.784,643.936,48.976,3.794,0.449,0.701,48.545,4.364,9,1,31.034,6.559,17.005,0.527
A0A0G2JMH3,0.79,12,-0.261,0.508,0.036,41,254.419,26.831,227.588,652.209,32.359,3.864,0.425,0.951,64.75,5.25,2,2,18.75,5.477,15.647,0.609
A0A0G2JMH6,0.578,16,-0.025,0.051,0.019,19,97.546,2.143,95.403,263.652,18,4.257,0.697,1,89.5,5.5,1,0,5.263,2.706,6.504,0.932
A0A0G2JMI3,0.686,6,0.195,0.065,0.009,95,222.717,83.839,138.877,785.307,21.385,4.029,0.49,0.274,21.65,4.05,11,1,36.842,6.393,18.12,0.982
A0A0G2JMM0,0.607,19,0.161,0.073,0.02,32,133.607,32.166,101.441,367.65,20.455,3.794,0.506,0.688,1.556,3.889,4,-1,37.037,4.332,10.782,0.855
A0A0G2JMP0,0.876,25,0.334,0.833,0.163,96,139.651,35.557,104.094,450.179,39.435,3.903,0.492,0.479,39,3.895,10,2,41.667,4.588,12.495,0.874
A0A0G2JMS6,0.277,129,-0.156,0.191,0.175,67,195.591,49.309,146.281,613.28,46.792,3.8,0.456,0.791,71.4,4.8,3,1,20.93,5.063,10.78,0.796
A0A0G2JN01,0.584,20,0.029,0.082,0.07,36,142.297,49.309,92.987,378.995,16.333,3.797,0.539,0.5,1.333,4,4,-1,39.286,4.15,10.971,0.848
A0A0G2JN53,0,2,0.394,0,0,22,57.723,44.439,13.284,160.466,2,3.803,0.445,0.136,-19.5,4,4,0,57.143,1.95,5.778,0.826
A0A0G2JN68,0.354,18,0.131,0.227,0.087,21,72.484,9.687,62.797,283.285,16,4.126,0.694,0.81,39.625,5.125,5,2,30,2.786,6.66,0.886
A0A0G2JND7,0.872,13,0.261,0.194,0.041,71,190.94,36.562,154.378,583.382,44.459,3.962,0.457,0.859,53.438,4.562,5,1,25,5.817,14.583,0.648
A0A0G2JNF4,0.448,15,0.088,0.344,0.258,18,54.525,9.842,44.682,254.855,16,3.883,0.54,0.944,48.5,5.75,2,2,18.75,2.359,6.211,0.858
A0A0G2JNG1,0.548,21,0.166,0.3,0.087,23,84.443,11.985,72.458,314.595,21.913,3.864,0.591,1,33.2,4,2,1,26.316,3.035,8.623,0.62
A0A0G2JNH3,0.65,23,0.404,0.441,0.212,143,187.226,49.398,137.828,870.263,45.391,3.902,0.504,0.483,36.276,3.966,12,2,35.065,6.179,13.486,0.816
A0A0G2JNJ9,0.884,13,-0.244,0.593,0.285,84,300.466,51.873,248.593,817.772,38.644,3.754,0.463,0.702,54.353,4.941,8,3,27.119,6.424,18.053,0.683
A0A0G2JNQ3,0.285,16,0.326,0.114,0.025,30,85.017,16.183,68.835,239.744,23,3.846,0.495,0.8,26.625,4.25,3,1,26.316,2.615,5.824,0.815
A0A0G2JP20,0.676,39,0.044,0.511,0.172,70,209.781,58.036,151.745,696.901,27.412,3.972,0.473,0.486,33.176,4.176,7,-2,34.783,5.572,14.903,0.618
A0A0G2JPB7,0.457,29,0.153,0.243,0.132,29,110.975,31.271,79.703,436.343,21.5,3.87,0.53,0.828,25,4.375,2,0,25,4.56,10.298,0.936
A0A0G2JPC4,0.853,24,0.001,0.03,0.019,47,198.636,21.451,177.185,625.924,32.649,4.097,0.544,0.787,78.182,4.545,1,0,25.714,4.805,11.511,0.662
A0A0G2JPF8,0.254,18,0.164,0.068,0.032,30,85.821,29.062,56.759,273.518,23,3.884,0.493,0.8,26.625,4.25,3,1,30,2.769,6.697,0.809
A0A0G2JPN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JQ47,0.666,14,0.223,0.384,0.269,24,71.545,8.749,62.797,324.916,21.652,3.867,0.567,0.958,76.75,5.25,1,1,23.81,3.346,8.638,0.834
A0A0G2JQF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JQZ4,0.141,4,0.225,0.028,0.001,28,110.601,49.012,61.589,482.747,15,4.046,0.678,0.571,17,4.5,3,1,43.478,4.218,10.56,0.142
A0A0G2JRQ6,0.259,7,-0.09,0.253,0.047,22,74.214,5.379,68.835,224.804,18,4.076,0.638,0.864,97,5.75,1,0,22.222,1.667,3.689,0.329
A0A0G2JS06,0.307,8,0.088,0.244,0.222,19,84.495,20.49,64.004,287.875,13.294,3.845,0.63,0.895,57.2,4.6,1,0,15,4.272,8.861,0.315
A0A0J9YVY3,0.66,6,0.204,0.311,0.051,94,221.508,72.97,148.538,790.203,15.238,3.966,0.477,0.223,27.2,3.95,10,0,37.5,6.471,18.089,0.966
A0A0J9YW62,0.029,6,0.074,0.003,0.001,101,306.64,132.741,173.898,1032.795,27.346,3.914,0.468,0.515,6.941,4,11,2,44.262,7.194,17.557,0.469
A0A0J9YWL9,0.986,89,-0.394,0.854,0.743,194,499.987,103.192,396.795,1696.585,75.888,3.92,0.42,0.737,31.029,3.971,9,2,25.51,9.196,22.395,0.466
A0A0J9YWP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0J9YWU9,0.557,6,-0.028,0.168,0.1,23,101.035,13.057,87.978,321.964,17.895,4.111,0.538,0.826,68.4,5.8,2,1,15.789,2.816,7.83,0.029
A0A0J9YWX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0J9YX35,0.917,6,0.081,0.22,0.167,30,153.37,10.869,142.5,475.914,21.037,3.959,0.679,0.9,65.857,5.286,3,1,25,5.201,13.06,0.165
A0A0J9YX57,0.299,29,-0.209,0.009,0.004,132,423.709,114.814,308.895,1334.446,46.667,4.009,0.496,0.614,37.042,4.625,11,3,31.707,8.104,17.54,0.588
A0A0J9YX75,0.356,7,0.054,0.026,0.002,119,276.49,90.357,186.133,984.259,28.638,3.934,0.452,0.395,39.952,4.286,9,2,33.871,6.478,15.269,0.98
A0A0J9YX94,0.35,33,0.127,0.169,0.154,34,53.32,8.638,44.682,166.805,26,3.673,0.434,0.794,66.444,5.222,2,0,27.273,2.597,5.73,0.663
A0A0J9YXG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0J9YXM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0J9YXQ4,0.551,17,-0.083,0.011,0.003,112,394.351,123.209,271.142,1334.355,34.771,4.059,0.497,0.625,32.095,5.048,14,0,31.507,9.229,23.672,0.588
A0A0J9YXV3,0.216,16,0.335,0.149,0.079,31,162.922,77.18,85.742,596.928,15.333,4.19,0.662,0.581,18.167,5.5,4,3,41.935,5.63,13.419,0.586
A0A0J9YXX1,0.701,1,0.137,0,0,84,224.737,67.745,156.992,705.482,12.105,4.038,0.485,0.226,26.947,4,9,0,36.957,5.955,16.108,0.96
A0A0J9YXY3,0.308,7,0.056,0.042,0.003,99,260.448,81.719,178.729,843.863,24.647,3.974,0.459,0.343,33.368,4.211,8,2,35.849,6.286,15.118,0.971
A0A0J9YY54,0.834,25,0.361,0.105,0.077,36,157.123,48.437,108.687,483.308,14.727,3.732,0.4,0.611,53.455,4.364,4,-1,33.333,5.807,15.102,0.689
A0A0J9YY99,0.419,6,0.129,0.367,0.174,24,90.916,18.458,72.458,269.685,13,3.843,0.622,0.583,16.429,2.714,2,0,50,3.629,8.862,0.965
A0A0K0K1A3,0.399,4,0.1,0.02,0.002,118,286.059,90.423,195.636,1077.573,22.432,3.971,0.465,0.314,32.913,4.043,13,3,37.5,7.372,18.87,0.972
A0A0K0K1A5,0.516,7,0.094,0.024,0.008,116,276.578,89.396,187.182,994.972,29.625,3.93,0.444,0.414,38.478,4.391,11,1,33.846,6.84,17.706,0.979
A0A0K0K1B3,0.587,6,0.125,0.339,0.004,103,253.883,76.361,177.521,915.508,21.267,3.992,0.472,0.291,49.318,4.455,9,-2,38.596,6.795,18.485,0.95
A0A0K0K1C0,0.524,8,0.252,0.378,0.001,80,208.774,89.219,119.555,758.711,11.556,3.946,0.459,0.225,26.3,4.5,11,0,38.776,6.495,17.131,0.962
A0A0K0K1C4,0.701,8,0.021,0.038,0.004,144,356,120.512,235.487,1244.57,26.981,3.966,0.499,0.368,40.231,4.308,12,1,32.927,8.652,24.719,0.923
A0A0K0K1D8,0.142,7,0.221,0.019,0.002,90,235.887,95.802,140.085,819.197,26.842,3.942,0.447,0.422,38,4.238,9,1,34.615,6.698,15.079,0.974
A0A0K0K1E9,0.024,6,-0.114,0.001,0.001,177,435.311,211.821,223.49,1716.565,24,4.081,0.517,0.266,22.769,4.231,15,2,42.222,9.221,24.405,0.965
A0A0K0K1G6,0.541,5,0.172,0.136,0.076,104,251.972,81.696,170.276,963.308,20.345,3.959,0.487,0.279,27.565,4.13,15,2,36.667,7.033,18.86,0.974
A0A0K0K1G8,0.542,3,0.113,0.12,0.003,122,301.921,99.039,202.882,1119.941,19.515,3.918,0.469,0.27,32.375,4.542,15,2,39.437,7.853,21.346,0.975
A0A0K2S4Q6,0.984,12,0.088,0.067,0.057,50,232.083,16.116,215.967,672.126,33.6,4.175,0.522,0.9,47.923,4.077,1,1,20,5.84,17.211,0.476
A0A0M3HER8,0.494,45,0.057,0.101,0.084,30,151.333,58.346,92.987,406.504,21.304,3.858,0.469,0.767,56.8,5.8,3,1,28.571,3.657,10.233,0.419
A0A0U1RQE8,0.121,23,-0.072,0.069,0.008,83,224.318,74.572,149.746,775.956,30.524,4.127,0.47,0.506,29.19,4.571,14,0,42.857,5.561,11.901,0.939
A0A0U1RQF7,0.151,4,-0.473,0.006,0.002,169,558.534,174.528,384.006,1792.864,19.969,4.081,0.471,0.385,26.821,3.964,15,4,35.294,9.331,25.009,0.239
A0A0U1RQG5,0.14,25,0.087,0.068,0.033,30,83.005,26.246,56.759,254.623,18,4.034,0.511,0.633,33.5,6.5,3,2,23.81,2.326,5.652,0.618
A0A0U1RQI7,0.552,99,-0.082,0.439,0.345,72,283.976,102.674,181.303,864.91,24.051,3.901,0.461,0.542,40.056,4,8,-2,37.5,7.524,18.543,0.255
A0A0U1RQS6,0.76,7,0.175,0.385,0.165,40,148.145,26.135,122.009,475.888,25.677,3.956,0.525,0.775,32.8,3.6,2,1,33.333,4.371,12.789,0.7
A0A0U1RR11,0.033,21,0.036,0.028,0.025,19,99.436,18.525,80.911,374.853,15,4.123,0.629,0.842,61.167,5.833,3,1,22.727,3.977,8.08,0.827
A0A0U1RR37,0.475,13,0.145,0.037,0.022,60,245.126,59.152,185.975,851.849,25.25,4.019,0.595,0.667,12.273,4,5,3,39.024,6.395,15.314,0.727
A0A0U1RRA0,0.8,6,0.409,0.538,0.214,31,130.479,48.459,82.019,477.184,17,4.049,0.622,0.645,10.5,4.75,4,3,42.308,5.275,15.153,0.592
A0A0U1RRE5,0.088,3,0.292,0.077,0.007,15,103.792,32.542,71.25,302.967,9,4.067,0.606,0.667,-34.5,4.5,2,2,33.333,3.573,7.359,0.799
A0A0U1RRI6,0.538,21,0.074,0.509,0.057,37,122.974,23.948,99.025,470.259,23.6,4.187,0.628,0.676,61.167,5.833,3,1,26.667,3.739,9.86,0.859
A0A0U1RRK4,0.263,3,0.209,0,0,33,127.709,40.76,86.949,292.452,13,3.911,0.468,0.424,17.167,4.667,3,0,40,3.01,6.825,0.469
A0A0U1RRL7,0.412,3,0.318,0.108,0,28,89.667,17.21,72.458,257.188,20,4.037,0.46,0.75,21.75,5,3,-2,28.571,2.563,6.239,0.852
A0A0U1RRN3,0.444,7,-0.024,0.237,0.172,20,117.262,18.237,99.026,374.444,14.75,3.967,0.54,0.8,25.5,4.5,1,1,29.412,3.681,7.638,0.022
A0A0X1KG70,0.97,23,0.341,0.917,0.379,94,152.653,37.612,115.041,500.532,36.348,3.832,0.454,0.489,40.609,3.957,11,1,40,5.098,16.367,0.928
A0A126GWB0,0.691,26,0.322,0.152,0.086,74,156.252,25.848,130.404,532.843,48.185,3.847,0.448,0.73,54.762,4.19,8,1,25.581,4.941,9.816,0.821
A0A126GWI2,0.838,24,-0.022,0.826,0.665,100,341.749,77.853,263.896,1025.774,31.268,3.931,0.48,0.71,51.76,4.16,8,1,29.032,7.762,19.643,0.744
A0A140G945,0.48,14,0.03,0.356,0.242,59,157.37,47.476,109.894,507.726,34.051,3.729,0.408,0.661,29.286,4.929,8,1,27.027,5.138,11.639,0.695
A0A140T8X8,0.417,27,0.118,0.261,0.114,26,55.142,3.214,51.928,214.429,20,4.009,0.527,0.808,70.571,4.143,1,1,17.647,1.937,4.965,0.52
